FMTNAME,START,LABEL
DRDIFDCD,11513400,"CHOCOLATE SYRUP MILK ADDED, NS AS TO TYPE OF MILK"
DRDIFDCD,11513500,"CHOCOLATE SYRUP, WHOLE MILK ADDED"
DRDIFDCD,11513550,"CHOCOLATE SYRUP, RED FAT MILK ADDED"
DRDIFDCD,11513600,"CHOCOLATE SYRUP, LOWFAT MILK ADDED"
DRDIFDCD,11513700,"CHOCOLATE SYRUP, SKIM MILK ADDED"
DRDIFDCD,11514100,"COCOA, SUGAR, & DRY MILK MIXTURE, WATER ADDED"
DRDIFDCD,11514300,"COCOA W/ NF DRY MILK, LO CAL SWEETENER, WATER ADDED"
DRDIFDCD,11514500,"COCOA W/ WHEY, LO CAL SWEETNR, FORTIFD, WATER ADDED"
DRDIFDCD,11516000,"COCOA, WHEY, LO CAL SWEETNER MIX, LOWFAT MILK ADDED"
DRDIFDCD,11519000,"MILK BEVERAGE, NOT CHOCOLATE, W/ WHOLE MILK"
DRDIFDCD,11519050,"MILK, NOT CHOCOLATE, WHOLE MILK BASED"
DRDIFDCD,11520000,"MILK, MALTED, UNFORTIFIED, FLAVOR NS"
DRDIFDCD,11521000,"MILK, MALTED, UNFORTIFIED, CHOCOLATE FLAVOR"
DRDIFDCD,11526000,"MILK, MALTED, FORTIFIED, CHOCOLATE (INCL OVALTINE)"
DRDIFDCD,11527000,"MILK, MALTED, FORTIFIED, (INCL OVALTINE)"
DRDIFDCD,11531000,"EGGNOG, MADE W/ WHOLE MILK (INCLUDE EGG NOG, NFS)"
DRDIFDCD,11531500,"EGGNOG, MADE W/ 2% REDUCED FAT MILK"
DRDIFDCD,11541100,"MILK SHAKE,HOMEMADE/ FOUNTAIN-TYPE, NS AS TO FLAVOR"
DRDIFDCD,11541110,"MILK SHAKE, HOMEMADE OR FOUNTAIN-TYPE, CHOCOLATE"
DRDIFDCD,11541120,"MILK SHAKE, HOMEMADE/FOUNTAIN-TYPE, NOT CHOCOLATE"
DRDIFDCD,11541400,MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)
DRDIFDCD,11541500,"MILK SHAKE, MADE W/ SKIM MILK, CHOCOLATE"
DRDIFDCD,11541510,"MILK SHAKE,MADE W/ SKIM MILK, NOT CHOCOLATE"
DRDIFDCD,11542100,"CARRY-OUT MILK SHAKE, CHOCOLATE"
DRDIFDCD,11542200,"CARRY-OUT MILK SHAKE, NOT CHOCOLATE"
DRDIFDCD,11551050,MILK FRUIT DRINK (INCL LICUADO)
DRDIFDCD,11552200,MILK-BASED FRUIT DRINK (INCL ORANGE JULIUS)
DRDIFDCD,11553000,"FRUIT SMOOTHIE DRINK, W/ FRUIT AND DAIRY PRODUCTS"
DRDIFDCD,11553100,"FRUIT SMOOTHIE DRINK, NFS"
DRDIFDCD,11560000,"CHOC-FLAVORED DRINK, WHEY-&MILK-BASED(INCL YOO-HOO)"
DRDIFDCD,11560020,"MILK DRINK, WHEY&MILK-BASE, NOT CHOC (INCL YOO-HOO)"
DRDIFDCD,11561010,CAFE CON LECHE PREPARED W/ SUGAR
DRDIFDCD,11612000,"INSTANT BREAKFAST, POWDER, MILK ADDED"
DRDIFDCD,11613000,"INSTANT BFAST,PWDR,SWT W/ LO CAL SWT, MILK ADDED"
DRDIFDCD,11623000,"MEAL SUPPLEMENT / REPLACEMENT,PREPARED,RTD"
DRDIFDCD,11631000,"HIGH CALORIE BEV, CANNED OR POWDERED, RECONSTITUTED"
DRDIFDCD,11641000,"MEAL REPLACEMENT, MILK BASED, HIGH PROTEIN, LIQUID"
DRDIFDCD,11710000,"INFANT FORMULA, NFS"
DRDIFDCD,11710051,"ALIMENTUM, W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710100,"ENFAMIL, LOW IRON, INFANT FORMULA, NS AS TO FORM"
DRDIFDCD,11710101,"ENFAMIL, LOW IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710102,"ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
DRDIFDCD,11710103,"ENFAMIL, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11710111,"GERBER, WITH IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710112,"GERBER, WITH IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
DRDIFDCD,11710200,"SIMILAC, LOW IRON, INFANT FORMULA, NS AS TO FORM"
DRDIFDCD,11710203,"SIMILAC, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11710400,"SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM"
DRDIFDCD,11710401,"SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710402,"SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
DRDIFDCD,11710403,"SIMILAC W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11710451,"SIMILAC SPECIAL CARE 24, IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710600,"ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM"
DRDIFDCD,11710601,"ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710602,"ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
DRDIFDCD,11710603,"ENFAMIL W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11710710,"LACTOFREE, W/ IRON, INFANT FORMULA, NS FORM"
DRDIFDCD,11710713,"LACTOFREE, W/ IRON, INFANT FORMULA, FROM POWDER"
DRDIFDCD,11710801,"PEDIASURE, W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710901,"CARNATION GOOD START, W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11710902,"CARNATION GOOD START,W/IRON,INFANT FORMULA,LIQUID CONCENTRAT"
DRDIFDCD,11710903,"CARNATION GOOD START, W/ IRON, INFANT FORMULA, FROM POWDER"
DRDIFDCD,11710951,"CARNATION FOLLOW-UP,W/ IRON,INFANT FORMULA,READY-TO-FEED"
DRDIFDCD,11710953,"CARNATION FOLLOW-UP, W/ IRON, INFANT FORMULA, FR POWDER"
DRDIFDCD,11720300,"PROSOBEE, W/ IRON, INFANT FORMULA, NS AS TO FORM"
DRDIFDCD,11720301,"PROSOBEE, W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11720302,"PROSOBEE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
DRDIFDCD,11720303,"PROSOBEE, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11720400,"ISOMIL, W/ IRON, INFANT FORMULA, NS AS TO FORM"
DRDIFDCD,11720401,"ISOMIL, W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11720402,"ISOMIL, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE"
DRDIFDCD,11720403,"ISOMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11720503,"SOYALAC, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11720601,"CARNATION ALSOY, W/ IRON, INFANT FORMULA, READY-TO-FEED"
DRDIFDCD,11720603,"CARNATION ALSOY, W/ IRON, INFANT FORMULA, FROM POWDER"
DRDIFDCD,11740301,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, READY-TO-FEED"
